density, u velocity, pressure, x points
0.997338,0.0032869,0.996149,-0.651652
0.997005,0.00369558,0.99567,-0.64965
0.996639,0.00414262,0.995146,-0.647648
0.996241,0.00463002,0.994576,-0.645646
0.995807,0.00515972,0.993955,-0.643644
0.995337,0.00573356,0.993284,-0.641642
0.994829,0.00635331,0.992559,-0.63964
0.994281,0.00702062,0.991778,-0.637638
0.993693,0.00773701,0.990941,-0.635636
0.993063,0.00850388,0.990045,-0.633634
0.992391,0.00932249,0.98909,-0.631632
0.991674,0.0101939,0.988073,-0.62963
0.990913,0.0111191,0.986994,-0.627628
0.990107,0.0120989,0.985853,-0.625626
0.989255,0.0131339,0.984648,-0.623624
0.988358,0.0142246,0.98338,-0.621622
0.987414,0.0153712,0.982047,-0.61962
0.986423,0.016574,0.980652,-0.617618
0.985387,0.0178329,0.979192,-0.615616
0.984305,0.0191478,0.977669,-0.613614
0.983177,0.0205184,0.976084,-0.611612
0.982003,0.0219443,0.974437,-0.60961
0.980785,0.023425,0.972729,-0.607608
0.979523,0.0249598,0.970961,-0.605606
0.978218,0.026548,0.969134,-0.603604
0.976869,0.0281888,0.967249,-0.601602
0.97548,0.0298813,0.965308,-0.5996
0.974049,0.0316244,0.963313,-0.597598
0.972579,0.0334171,0.961264,-0.595596
0.971069,0.0352583,0.959163,-0.593594
0.969523,0.0371469,0.957012,-0.591592
0.967939,0.0390817,0.954813,-0.58959
0.966321,0.0410615,0.952566,-0.587588
0.964668,0.043085,0.950275,-0.585586
0.962982,0.0451511,0.94794,-0.583584
0.961264,0.0472584,0.945563,-0.581582
0.959515,0.0494057,0.943147,-0.57958
0.957737,0.0515917,0.940692,-0.577578
0.955931,0.0538153,0.9382,-0.575576
0.954097,0.0560751,0.935673,-0.573574
0.952237,0.0583701,0.933113,-0.571572
0.950352,0.0606989,0.930521,-0.56957
0.948443,0.0630604,0.927899,-0.567568
0.946511,0.0654535,0.925248,-0.565566
0.944557,0.0678771,0.92257,-0.563564
0.942582,0.07033,0.919866,-0.561562
0.940588,0.0728112,0.917138,-0.55956
0.938575,0.0753196,0.914386,-0.557558
0.936543,0.0778543,0.911613,-0.555556
0.934495,0.0804142,0.90882,-0.553554
0.93243,0.0829985,0.906007,-0.551552
0.93035,0.0856062,0.903176,-0.54955
0.928256,0.0882364,0.900329,-0.547548
0.926148,0.0908884,0.897465,-0.545546
0.924026,0.0935611,0.894587,-0.543544
0.921893,0.096254,0.891696,-0.541542
0.919748,0.0989661,0.888791,-0.53954
0.917592,0.101697,0.885875,-0.537538
0.915425,0.104445,0.882948,-0.535536
0.913249,0.107211,0.880011,-0.533534
0.911064,0.109994,0.877065,-0.531532
0.90887,0.112792,0.87411,-0.52953
0.906669,0.115605,0.871148,-0.527528
0.90446,0.118434,0.868179,-0.525526
0.902244,0.121276,0.865203,-0.523524
0.900021,0.124132,0.862223,-0.521522
0.897793,0.127002,0.859237,-0.51952
0.895559,0.129884,0.856247,-0.517518
0.89332,0.132778,0.853253,-0.515516
0.891076,0.135683,0.850256,-0.513514
0.888828,0.138601,0.847257,-0.511512
0.886576,0.141529,0.844255,-0.50951
0.88432,0.144467,0.841252,-0.507508
0.882061,0.147416,0.838248,-0.505506
0.879799,0.150374,0.835242,-0.503504
0.877535,0.153342,0.832237,-0.501502
0.875268,0.156319,0.829232,-0.499499
