density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
-4.82471e+07, 1293.88, -34.8755, -4.28878e+12, -0.0015978, -0.101725, 0.0
-1.02434e+07, 1031.2, -321.027, -9.91692e+11, -0.00165232, -0.105223, 0.0
-2.9481e+06, 945.082, -398.005, -2.79256e+11, -0.00170685, -0.108721, 0.0
-713709, 893.882, -440.637, -6.81776e+10, -0.00176137, -0.11222, 0.0
-149347, 855.963, -478.291, -1.44667e+10, -0.00181589, -0.115718, 0.0
-28190.4, 824.83, -514.319, -2.77705e+09, -0.00187042, -0.119217, 0.0
-4949.06, 797.863, -549.216, -4.96301e+08, -0.00192494, -0.122715, 0.0
-827.528, 773.971, -582.162, -8.44171e+07, -0.00197946, -0.126214, 0.0
-134.202, 752.79, -611.978, -1.38939e+07, -0.00203398, -0.129712, 0.0
-21.3298, 734.26, -638.975, -2.22996e+06, -0.00208851, -0.133211, 0.0
-3.29208, 719.361, -673.261, -341412, -0.00214303, -0.136709, 0.0
-0.501201, 593.287, -947.91, -30081.1, -0.00219755, -0.140208, 0.0
0.0939808, 880.214, 48.296, 7936.18, -0.00225208, -0.143706, 0.0
0.115015, 868.825, 3.23522, 9864.85, -0.0023066, -0.147205, 0.0
0.116058, 868.035, 0.244932, 9989.65, -0.00236112, -0.150703, 0.0
0.116137, 867.976, 0.0196117, 9999.15, -0.00241565, -0.154201, 0.0
0.116143, 867.972, 0.00191396, 9999.91, -0.00247017, -0.1577, 0.0
0.116144, 867.972, 0.00030968, 9999.98, -0.00252469, -0.161198, 0.0
0.116144, 867.972, 8.63063e-05, 9999.99, -0.00257922, -0.164697, 0.0
0.116144, 867.972, 3.06244e-05, 10000, -0.00263374, -0.168195, 0.0
0.116144, 867.972, 1.15871e-05, 10000, -0.00268826, -0.171694, 0.0
0.116144, 867.972, 4.44246e-06, 10000, -0.00274278, -0.175192, 0.0
0.116144, 867.972, 1.69866e-06, 10000, -0.00279731, -0.178691, 0.0
