density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00172193, -0.219711, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.0017356, -0.221458, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00174928, -0.223206, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00176295, -0.224954, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00177662, -0.226701, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00179029, -0.228449, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00180397, -0.230197, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00181764, -0.231945, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00183131, -0.233692, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00184498, -0.23544, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00185866, -0.237188, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00187233, -0.238935, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.001886, -0.240683, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00189967, -0.242431, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00191335, -0.244178, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00192702, -0.245926, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00194069, -0.247674, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00195436, -0.249421, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00196804, -0.251169, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00198171, -0.252917, 0.0
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -0.00199538, -0.254665, 0.0
