density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
0.100155, 862.075, -133.458, 13465.9, -0.00324786, -0.103405, 0.0
0.131495, 834.349, -195.02, 17343.2, -0.00346454, -0.110411, 0.0
0.162243, 819.496, -237.657, 21037, -0.00368122, -0.117418, 0.0
0.189398, 811.842, -264.241, 24164.6, -0.00389789, -0.124424, 0.0
0.205059, 808.013, -266.609, 25464.3, -0.00411457, -0.131431, 0.0
0.197998, 810.153, -229.576, 23244.8, -0.00433125, -0.138438, 0.0
0.167508, 825.762, -146.364, 17663, -0.00454793, -0.145444, 0.0
0.134416, 850.732, -53.3299, 12451.5, -0.0047646, -0.152451, 0.0
0.119564, 864.53, -9.74694, 10423.1, -0.00498128, -0.159458, 0.0
0.116586, 867.509, -1.23389, 10053.4, -0.00519796, -0.166464, 0.0
0.116193, 867.918, -0.136287, 10005.9, -0.00541463, -0.173471, 0.0
0.116149, 867.966, -0.013895, 10000.6, -0.00563131, -0.180477, 0.0
0.116145, 867.971, -0.00132896, 10000.1, -0.00584799, -0.187484, 0.0
0.116144, 867.972, -0.000120078, 10000, -0.00606466, -0.194491, 0.0
0.116144, 867.972, -1.02863e-05, 10000, -0.00628134, -0.201497, 0.0
0.116144, 867.972, -8.36788e-07, 10000, -0.00649802, -0.208504, 0.0
0.116144, 867.972, -6.46705e-08, 10000, -0.00671469, -0.215511, 0.0
0.116144, 867.972, -4.74658e-09, 10000, -0.00693137, -0.222517, 0.0
0.116144, 867.972, -3.30596e-10, 10000, -0.00714805, -0.229524, 0.0
0.116144, 867.972, -2.18021e-11, 10000, -0.00736472, -0.23653, 0.0
0.116144, 867.972, -1.23165e-12, 10000, -0.0075814, -0.243537, 0.0
0.116144, 867.972, 1.11514e-13, 10000, -0.00779808, -0.250544, 0.0
0.116144, 867.972, -1.23721e-13, 10000, -0.00801475, -0.25755, 0.0
0.116144, 867.972, 3.05048e-14, 10000, -0.00823143, -0.264557, 0.0
0.116144, 867.972, 6.30648e-14, 10000, -0.00844811, -0.271563, 0.0
0.111158, 836.003, -173.149, 15677.5, -0.00972379, -0.102886, 0.0
0.143056, 806.884, -226.645, 19675.7, -0.010359, -0.109643, 0.0
0.174287, 791.623, -264.881, 23495, -0.0109942, -0.1164, 0.0
0.201979, 784.24, -289.38, 26751.8, -0.0116294, -0.123157, 0.0
0.217874, 781.998, -290.352, 28044.9, -0.0122646, -0.129914, 0.0
0.208219, 788.548, -248.593, 25214.8, -0.0128999, -0.136671, 0.0
0.170559, 814.322, -151.387, 18224.3, -0.0135351, -0.143428, 0.0
0.13184, 850.358, -44.8125, 12092.9, -0.0141703, -0.150185, 0.0
0.118028, 865.746, -5.20743, 10231, -0.0148055, -0.156942, 0.0
0.116291, 867.792, -0.399386, 10017.8, -0.0154407, -0.163699, 0.0
0.116154, 867.959, -0.0264838, 10001.2, -0.0160759, -0.170456, 0.0
0.116145, 867.971, -0.00158103, 10000.1, -0.0167111, -0.177213, 0.0
0.116144, 867.972, -8.54074e-05, 10000, -0.0173463, -0.18397, 0.0
0.116144, 867.972, -4.1642e-06, 10000, -0.0179815, -0.190727, 0.0
