density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
0.274156, 698.159, -302.381, 37817.8, -0.295767, -1.35144, 0.0
0.204074, 773.409, -177.524, 23299.6, -0.312686, -1.42889, 0.0
0.135757, 849.43, -35.2829, 12186.1, -0.330295, -1.5095, 0.0
0.116888, 867.517, -0.818397, 10069.1, -0.348623, -1.59339, 0.0
0.116151, 867.968, -0.00475619, 10000.6, -0.367698, -1.68071, 0.0
0.116144, 867.972, -1.33706e-05, 10000, -0.387553, -1.77159, 0.0
0.116144, 867.972, -1.76858e-07, 10000, -0.408217, -1.86619, 0.0
0.116144, 867.972, 1.96045e-09, 10000, -0.429725, -1.96464, 0.0
0.116144, 867.972, 1.24839e-09, 10000, -0.452111, -2.06711, 0.0
0.116144, 867.972, 4.80362e-11, 10000, -0.47541, -2.17376, 0.0
0.116144, 867.972, 4.3029e-12, 10000, -0.49966, -2.28477, 0.0
0.116144, 867.972, 1.03749e-13, 10000, -0.5249, -2.4003, 0.0
0.116144, 867.972, 6.85994e-15, 10000, -0.55117, -2.52055, 0.0
0.116144, 867.972, 1.17637e-14, 10000, -0.578512, -2.64571, 0.0
0.116144, 867.972, -1.05238e-14, 10000, -0.606969, -2.77598, 0.0
0.116144, 867.972, -1.17468e-14, 10000, -0.636589, -2.91156, 0.0
0.116144, 867.972, 5.09328e-14, 10000, -0.667417, -3.05267, 0.0
0.116144, 867.972, 4.00697e-14, 10000, -0.699503, -3.19955, 0.0
0.116144, 867.972, 2.93375e-14, 10000, -0.732898, -3.35241, 0.0
0.116144, 867.972, -9.57347e-15, 10000, -0.767656, -3.51152, 0.0
0.137133, 692.838, -262.458, 27181, -0.28193, -0.99094, 0.0
0.185811, 645.446, -284.917, 32323.2, -0.299066, -1.05129, 0.0
0.224882, 630.193, -311.075, 37427.6, -0.316901, -1.1141, 0.0
0.266334, 625.883, -336.173, 42647.5, -0.335464, -1.17947, 0.0
0.297568, 637.023, -348.194, 45655.1, -0.354784, -1.24751, 0.0
0.282732, 678.063, -305.479, 39510.8, -0.374893, -1.31833, 0.0
0.200031, 771.265, -162.731, 22375.7, -0.395823, -1.39204, 0.0
0.129836, 856.269, -20.0956, 11359, -0.417607, -1.46876, 0.0
0.116375, 867.815, -0.26334, 10023.5, -0.44028, -1.5486, 0.0
0.116147, 867.97, -0.00309827, 10000.2, -0.463878, -1.63171, 0.0
0.116144, 867.972, -4.05277e-05, 10000, -0.48844, -1.71821, 0.0
0.116144, 867.972, -5.11079e-07, 10000, -0.514003, -1.80823, 0.0
0.116144, 867.972, -3.84833e-09, 10000, -0.54061, -1.90194, 0.0
0.116144, 867.972, 9.11724e-11, 10000, -0.568303, -1.99946, 0.0
0.116144, 867.972, -3.76375e-11, 10000, -0.597126, -2.10097, 0.0
0.116144, 867.972, 2.43082e-12, 10000, -0.627125, -2.20662, 0.0
0.116144, 867.972, -1.23582e-13, 10000, -0.658349, -2.31658, 0.0
0.116144, 867.972, 8.28456e-15, 10000, -0.690846, -2.43102, 0.0
0.116144, 867.972, 2.17719e-14, 10000, -0.72467, -2.55014, 0.0
0.116144, 867.972, 8.75181e-15, 10000, -0.759875, -2.67412, 0.0
0.116144, 867.972, 6.28131e-15, 10000, -0.796516, -2.80316, 0.0
0.116144, 867.972, -6.30832e-15, 10000, -0.834652, -2.93747, 0.0
0.116144, 867.972, 1.78087e-15, 10000, -0.874345, -3.07725, 0.0
0.116144, 867.972, 3.17054e-14, 10000, -0.915658, -3.22274, 0.0
0.116144, 867.972, -1.11758e-14, 10000, -0.958657, -3.37417, 0.0
0.15205, 654.787, -287.793, 31064.2, -0.342051, -0.970719, 0.0
0.203682, 610.007, -302.865, 36274, -0.362162, -1.02789, 0.0
0.242851, 597.007, -325.278, 41428, -0.383093, -1.08739, 0.0
0.284317, 594.048, -347.997, 46686, -0.404879, -1.14932, 0.0
0.313207, 607.735, -357.491, 49197.2, -0.427553, -1.21377, 0.0
0.29004, 658.138, -306.214, 41032.7, -0.451153, -1.28086, 0.0
0.195128, 771.969, -145.556, 21253.4, -0.475716, -1.35068, 0.0
0.124895, 862.448, -8.82388, 10735, -0.501282, -1.42336, 0.0
0.116204, 867.9, -0.105322, 10008.5, -0.52789, -1.499, 0.0
0.116146, 867.971, -0.00130629, 10000.1, -0.555585, -1.57772, 0.0
0.116144, 867.972, -2.53744e-05, 10000, -0.58441, -1.65966, 0.0
0.116144, 867.972, -3.79819e-07, 10000, -0.614412, -1.74495, 0.0
0.116144, 867.972, 6.19916e-09, 10000, -0.645637, -1.83371, 0.0
0.116144, 867.972, -1.39012e-10, 10000, -0.678137, -1.9261, 0.0
0.116144, 867.972, -4.42418e-11, 10000, -0.711964, -2.02225, 0.0
0.116144, 867.972, 4.5834e-12, 10000, -0.747171, -2.12234, 0.0
0.116144, 867.972, -2.85112e-13, 10000, -0.783815, -2.2265, 0.0
0.116144, 867.972, 1.95585e-14, 10000, -0.821954, -2.33492, 0.0
0.116144, 867.972, -5.15615e-15, 10000, -0.861649, -2.44776, 0.0
0.116144, 867.972, 4.0227e-14, 10000, -0.902965, -2.56521, 0.0
0.116144, 867.972, 3.69932e-14, 10000, -0.945967, -2.68745, 0.0
0.116144, 867.972, 2.98643e-14, 10000, -0.990724, -2.81467, 0.0
0.116144, 867.972, 1.48515e-14, 10000, -1.03731, -2.94709, 0.0
0.116144, 867.972, -5.43987e-15, 10000, -1.08579, -3.08492, 0.0
0.116144, 867.972, -4.90754e-15, 10000, -1.13625, -3.22837, 0.0
0.167837, 614.674, -309.591, 35301.6, -0.400763, -0.94688, 0.0
