density, u velocity, pressure, Mach, Temperature, y_points
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 4.91568
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 4.96182
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.00797
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.05411
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.10025
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.14639
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.19253
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.23867
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.28481
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.33095
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.37709
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.42324
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.46938
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.51552
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.56166
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.6078
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.65394
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.70008
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.74622
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.79236
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.83851
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.88465
-nan(ind), -nan(ind), -nan(ind), -nan(ind), -nan(ind), 5.93079
